t,y,u,ref,a1_est,a2_est,b1_est,b2_est,Kp,Ki,Kd
12.780000000000001,0.0001981750658629584,-41.452336158052674,0.0,-1.9508798326930403,0.9478120245278249,-0.00011692766808654275,0.00014213092822453843,1189.083547761323,1392.2098380474927,247.50397120844315
12.8,-0.018567956291947154,-254.60997671708586,0.0,-1.9508798326930403,0.9478120245278249,-0.00011692766808654275,0.00014213092822453843,1189.083547761323,1392.2098380474927,247.50397120844315
12.82,0.048964460463255546,895.0167534331978,0.0,-1.9508798326930403,0.9478120245278249,-0.00011692766808654275,0.00014213092822453843,1189.083547761323,1392.2098380474927,247.50397120844315
12.84,-0.07057128295502722,-107.9816574131874,0.0,-2.6779345405226715,1.417457634215124,0.00034218201031346255,0.00030255205476491313,458.5380675942726,71.12782161908176,12.644946065614535
12.86,-0.4208821074899974,-415.1181572025097,0.0,-2.6779345405226715,1.417457634215124,0.00034218201031346255,0.00030255205476491313,458.5380675942726,71.12782161908176,12.644946065614535
12.88,-0.6379810030595545,-431.35094638025885,0.0,-2.6779345405226715,1.417457634215124,0.00034218201031346255,0.00030255205476491313,458.5380675942726,71.12782161908176,12.644946065614535
12.9,-0.6623392932241697,-321.602636704268,0.0,-2.6779345405226715,1.417457634215124,0.00034218201031346255,0.00030255205476491313,458.5380675942726,71.12782161908176,12.644946065614535
12.92,-0.5199925389965282,-151.67213506325015,0.0,-2.6779345405226715,1.417457634215124,0.00034218201031346255,0.00030255205476491313,458.5380675942726,71.12782161908176,12.644946065614535
12.94,-0.2632104535991359,38.04922397597183,0.0,-2.6779345405226715,1.417457634215124,0.00034218201031346255,0.00030255205476491313,458.5380675942726,71.12782161908176,12.644946065614535
12.96,0.02321639730849512,188.16268838383567,0.0,-2.6779345405226715,1.417457634215124,0.00034218201031346255,0.00030255205476491313,458.5380675942726,71.12782161908176,12.644946065614535
12.98,0.24375043284521358,247.97213279991468,0.0,-2.6779345405226715,1.417457634215124,0.00034218201031346255,0.00030255205476491313,458.5380675942726,71.12782161908176,12.644946065614535
13.0,0.34187752827535933,216.06202380880129,0.0,-2.6779345405226715,1.417457634215124,0.00034218201031346255,0.00030255205476491313,458.5380675942726,71.12782161908176,12.644946065614535
13.02,0.3142030387591507,124.28147558746787,0.0,-2.6779345405226715,1.417457634215124,0.00034218201031346255,0.00030255205476491313,458.5380675942726,71.12782161908176,12.644946065614535
13.040000000000001,0.19392405690365272,-39.984768649739486,0.0,-2.0680891326779665,1.0083042277254757,0.0002944138829119616,0.0002862521960882205,151.39857883664487,63.181820964643386,11.232323727047714
13.06,0.05066801602030499,-74.5137919637207,0.0,-2.0680891326779665,1.0083042277254757,0.0002944138829119616,0.0002862521960882205,151.39857883664487,63.181820964643386,11.232323727047714
13.08,-0.05920053470691352,-72.47158746099758,0.0,-2.0680891326779665,1.0083042277254757,0.0002944138829119616,0.0002862521960882205,151.39857883664487,63.181820964643386,11.232323727047714
13.1,-0.12678008332101515,-59.11305091870324,0.0,-2.0680891326779665,1.0083042277254757,0.0002944138829119616,0.0002862521960882205,151.39857883664487,63.181820964643386,11.232323727047714
13.120000000000001,-0.15722893789802053,-43.06844565922895,0.0,-2.0680891326779665,1.0083042277254757,0.0002944138829119616,0.0002862521960882205,151.39857883664487,63.181820964643386,11.232323727047714
13.14,-0.15942357144758093,-27.73413562888348,0.0,-2.0680891326779665,1.0083042277254757,0.0002944138829119616,0.0002862521960882205,151.39857883664487,63.181820964643386,11.232323727047714
13.16,-0.14245036383732926,-14.579451733296473,0.0,-2.0680891326779665,1.0083042277254757,0.0002944138829119616,0.0002862521960882205,151.39857883664487,63.181820964643386,11.232323727047714
13.18,-0.11438272262167541,-4.24377542478655,0.0,-2.0680891326779665,1.0083042277254757,0.0002944138829119616,0.0002862521960882205,151.39857883664487,63.181820964643386,11.232323727047714
13.200000000000001,-0.08181013124548961,3.114343286151332,0.0,-2.0680891326779665,1.0083042277254757,0.0002944138829119616,0.0002862521960882205,151.39857883664487,63.181820964643386,11.232323727047714
13.22,-0.049657740997722376,7.6834283905965535,0.0,-2.0680891326779665,1.0083042277254757,0.0002944138829119616,0.0002862521960882205,151.39857883664487,63.181820964643386,11.232323727047714
13.24,-0.02119858383454934,10.96901816136186,0.0,-2.041754694647742,1.0059882865017973,0.0002837263108870442,0.0002818057728353887,112.62992242035018,64.41665800914278,11.451850312736493
13.26,0.0014559763096546985,10.198806486081414,0.0,-2.041754694647742,1.0059882865017973,0.0002837263108870442,0.0002818057728353887,112.62992242035018,64.41665800914278,11.451850312736493
13.280000000000001,0.017725022765544513,8.397726314429983,0.0,-2.041754694647742,1.0059882865017973,0.0002837263108870442,0.0002818057728353887,112.62992242035018,64.41665800914278,11.451850312736493
13.3,0.02848078823595314,6.488976659956767,0.0,-2.041754694647742,1.0059882865017973,0.0002837263108870442,0.0002818057728353887,112.62992242035018,64.41665800914278,11.451850312736493
13.32,0.034895277818025164,4.7706147855222945,0.0,-2.041754694647742,1.0059882865017973,0.0002837263108870442,0.0002818057728353887,112.62992242035018,64.41665800914278,11.451850312736493
13.34,0.03808877542385249,3.3350533070015294,0.0,-2.041754694647742,1.0059882865017973,0.0002837263108870442,0.0002818057728353887,112.62992242035018,64.41665800914278,11.451850312736493
13.36,0.039022568840860423,2.1966107504777956,0.0,-2.041754694647742,1.0059882865017973,0.0002837263108870442,0.0002818057728353887,112.62992242035018,64.41665800914278,11.451850312736493
13.38,0.038474070151408746,1.3356514398741361,0.0,-2.041754694647742,1.0059882865017973,0.0002837263108870442,0.0002818057728353887,112.62992242035018,64.41665800914278,11.451850312736493
13.4,0.037043495467886725,0.717180175405305,0.0,-2.041754694647742,1.0059882865017973,0.0002837263108870442,0.0002818057728353887,112.62992242035018,64.41665800914278,11.451850312736493
13.42,0.03517370949554618,0.30041268594698844,0.0,-2.041754694647742,1.0059882865017973,0.0002837263108870442,0.0002818057728353887,112.62992242035018,64.41665800914278,11.451850312736493
13.44,0.03317516089785808,-0.1742438606674741,0.0,-2.0367995984113536,1.0047871558738175,0.0002811176248254162,0.0002796065128582446,106.82506265834547,64.87018900029506,11.5324780444969
13.46,0.031315658595373864,-0.252078839478308,0.0,-2.0367995984113536,1.0047871558738175,0.0002811176248254162,0.0002796065128582446,106.82506265834547,64.87018900029506,11.5324780444969
13.48,0.029764863651789885,-0.201117517949138,0.0,-2.0367995984113536,1.0047871558738175,0.0002811176248254162,0.0002796065128582446,106.82506265834547,64.87018900029506,11.5324780444969
13.5,0.028540635724612257,-0.10656066696694588,0.0,-2.0367995984113536,1.0047871558738175,0.0002811176248254162,0.0002796065128582446,106.82506265834547,64.87018900029506,11.5324780444969
13.52,0.027612418944095957,0.0007940764969549541,0.0,-2.0367995984113536,1.0047871558738175,0.0002811176248254162,0.0002796065128582446,106.82506265834547,64.87018900029506,11.5324780444969
